Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.35366434,-6.30472197,-90.25,-10.0,23948.58,23860.59,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.0398,0.714549999999997,24570.37448000001,26382.788194999994
106.35363096,-6.30470191,-86.75,-14.000000000000002,16660.67,16924.74,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-81.56700499999998,-1.3314250000000032,19060.430429999997,21674.839019999992
106.35360204,-6.30467669,-87.25,-10.5,21733.95,24614.749999999996,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-83.65250499999999,0.17312499999999448,22255.18938,26736.624364999985
106.35357436,-6.30464254,-91.88,-14.999999999999998,20480.89,32509.59,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-86.21074000000003,3.454249999999995,21728.144620000003,40287.66437500001
106.35355486,-6.30461936,-91.69,-4.999999999999999,12691.69,15727.23,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.19509999999998,-1.213400000000017,12783.941060000006,20836.01625
106.35352477,-6.30458931,-84.56,7.500000000000001,10748.64,14309.86,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-78.09023499999999,12.172224999999978,15477.642870000012,18599.390095000006
106.35349561,-6.30456551,-87.94,8.500000000000002,54011.64,89362.59,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.47291999999997,7.855399999999988,44927.21824999999,42254.05080000002
106.35346471,-6.30454213,-89.75,10.499999999999998,25738.29,7803.8,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-79.93690000000004,15.812499999999973,31994.58768,11366.84775
106.35343731,-6.30451849,-85.38,10.000000000000004,45573.29,29323.57,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-85.73933,10.739649999999976,43658.193819999986,27135.928775000004
106.3534092,-6.30449665,-89.0,7.000000000000001,19425.89,23897.94,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-86.14659999999996,8.775699999999983,21097.264100000008,27517.547529999993
106.35337982,-6.30447875,-90.31,4.999999999999999,15079.530000000002,20708.29,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.16450000000002,7.124899999999967,16664.5809,23832.226940000015
106.35335963,-6.30446453,-88.81,6.0,24629.48,25256.580000000005,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-86.47822499999998,7.982124999999975,27839.939180000012,27375.66037500001
106.35334578,-6.30445259,-89.62,-10.0,29648.32,58382.63,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,3,-87.70876999999999,3.901750000000007,34162.19732000002,39841.623770000006
106.35333865,-6.30444621,-90.25,-4.999999999999999,19144.18,26943.42,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.85828500000001,-1.4089250000000175,17703.187690000002,30801.53356499997
106.35333488,-6.30444138,-95.38,1.5000000000000013,30978.610000000004,33074.76,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-92.73872000000001,5.425449999999992,33022.398460000026,34249.21767
106.35333405,-6.30443929,-90.69,-1.999999999999999,22555.88,30030.810000000005,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.37774999999999,1.8821499999999975,21701.30992,33643.78639999999
106.35333543,-6.30443877,-92.25,-1.999999999999999,33940.22,39338.46,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.59,3.0888999999999878,34736.18015,38416.623270000004
106.35333566,-6.30443953,-92.56,-0.5000000000000004,21513.89,26732.9,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.77648,2.807600000000002,22847.222329999986,30903.811599999994
106.35333507,-6.30443969,-91.94,0.0,20306.35,18825.16,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.13979999999997,2.6923000000000004,21804.275349999996,21918.626709999986
106.35333507,-6.30443969,-92.81,1.999999999999999,21793.44,27168.169999999995,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.66959,4.804649999999989,23530.92232,31647.026650000007
106.35333507,-6.30443969,-92.75,8.000000000000002,18214.62,19962.85,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.37683499999999,8.616974999999988,20653.022739999997,22499.251700000004
106.35333434,-6.30443466,-93.19,2.4999999999999996,29870.790000000005,52272.73000000001,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,3,-90.647015,4.491674999999991,34487.413670000016,39613.42602500001
106.35333299,-6.30443054,-89.62,-8.5,23778.71,36355.67,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.95699000000002,2.0514999999999977,24626.729200000016,38105.26687999999
106.35333064,-6.30442151,-91.0,-10.5,43184.36,54870.51,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-89.894205,4.063425,37855.89865,40169.01848500002
106.35332615,-6.30441395,-90.88,-13.0,49275.26,46226.18,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,2,-89.506135,4.313874999999998,39538.85976999999,39770.07918000003
106.35331946,-6.3044105,-91.69,-11.5,17173.53,26278.37,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,1,-85.66972500000001,4.8395750000000035,18718.871639999994,36222.429724999995
106.35331565,-6.30440877,-94.62,-10.5,18508.95,20020.29,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-84.15031500000002,7.284625000000003,17649.87486,30428.689419999984
106.35331446,-6.3044087,-91.19,-10.0,21106.58,23710.83,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-89.234125,-0.2627750000000047,22336.678590000003,26607.309634999994
106.35331446,-6.3044087,-88.44,-4.000000000000001,15594.58,9895.27,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-86.68938999999997,-0.5694500000000116,17137.648600000008,10657.579575000005
106.35331446,-6.3044087,-91.12,-7.000000000000001,14124.39,23458.07,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.394195,-2.1968750000000217,14964.999750000004,26883.717235000004
106.35331446,-6.3044087,-87.88,-2.4999999999999996,11814.57,19320.02,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-84.52899500000004,-0.48577500000001683,14498.430640000013,21552.490255000008
106.35331446,-6.3044087,-86.38,3.5000000000000004,5619.41,14440.04,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-83.46977,6.422149999999984,10545.778639999995,21568.882670000003
106.35331446,-6.3044087,-87.62,2.4999999999999996,30132.36,53736.33,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-86.82034999999999,4.210249999999997,34132.46478000002,40126.851965
106.35331318,-6.30440822,-89.12,1.0000000000000009,51735.59,35474.56,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-88.12303,5.2198000000000055,39426.95451999998,35149.17473499999
106.35330975,-6.30440888,-89.25,2.4999999999999996,48041.47,33753.86,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.98312,5.507750000000001,39161.25736999997,33844.245825
106.35330456,-6.30441005,-90.44,-6.0,44248.87,33759.66,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.88563500000001,4.85882499999999,38429.5511,33760.469399999994
106.35329925,-6.30441427,-91.31,-6.5,38597.76,31425.46,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.114375,4.165174999999992,36745.43046000002,31910.383395000004
106.35329479,-6.30441945,-95.75,1.999999999999999,45981.87,48567.28,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-92.25608500000001,5.0486249999999995,40301.554030000014,37945.421205000006
106.35329072,-6.30441945,-88.94,-1.999999999999999,53314.82,39895.79,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-88.23634500000001,4.760425,40522.721099999995,37538.486055
106.35328841,-6.30441801,-87.88,-5.499999999999999,44270.34,21303.76,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-86.27882000000001,2.3821499999999953,32492.097389999988,23321.437269999995
106.35328841,-6.30441801,-89.0,0.0,6082.73,12931.11,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.24589999999998,2.907299999999995,6943.723599999999,11318.01664
106.35328802,-6.3044136,-88.62,3.0,18860.67,12601.7,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.93669999999997,7.0516999999999985,21249.932,12972.592594999995
106.35328756,-6.30440839,-90.25,-1.0000000000000009,26673.57,25841.84,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.59744999999998,4.056249999999992,30639.46731000002,28801.60569
106.35328756,-6.30440839,-90.25,-7.000000000000001,23289.28,33656.26,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-87.40041000000002,1.14364999999999,23046.286490000017,36183.518505
106.35328845,-6.30440607,-86.81,-5.499999999999999,19138.37,15879.4,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-82.71517499999999,-1.3176750000000117,19845.32985,20262.655769999998
