Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
107.09338485,-6.38948419,-86.78,-16.0,8118.16,304.19,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-78.00515000000004,0.5878500000000274,7905.734010000002,5082.933829999999
107.09337169,-6.38951274,-86.4,-14.000000000000002,4.99,395.32,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-77.02111500000001,0.4929250000000127,2592.4212999999995,3524.387925
107.09335604,-6.38953673,-84.02,-4.499999999999998,159.68,7483.050000000001,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-81.55239499999999,-1.691875000000027,1035.8412499999997,7951.931489999999
107.09333928,-6.38955721,-80.88,1.999999999999999,903.05,13732.39,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-78.99080000000001,3.873399999999985,2546.6260600000014,12571.79954000001
107.09332497,-6.38957539,-82.6,-0.3300000000000003,67.54,138.36,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.07070000000006,2.426399999999999,1110.4004999999997,888.9296450000007
107.09331061,-6.38958748,-81.25,2.7499999999999996,596.41,3092.57,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,0,-75.16900000000003,8.180599999999998,3110.5991999999974,2916.58775
107.09329683,-6.38960073,-80.75,5.249999999999999,81.63,3437.82,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-75.4518,10.684699999999994,2360.675639999999,3304.883625000001
107.09328338,-6.3896219,-89.81,0.7500000000000007,661.64,2471.7,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-86.565,3.2755999999999745,2225.5382599999984,2208.7096650000003
107.09327317,-6.38964287,-93.82,0.5000000000000004,781.04,2391.36,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.3984,3.5431999999999912,2623.0452600000003,2234.8577900000005
107.09326725,-6.38966142,-95.39,-5.249999999999999,685.3,1673.77,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-84.22030000000005,10.024999999999958,1378.581,2575.0484799999963
107.0932662,-6.38967642,-93.58,1.7500000000000016,2215.76,2005.8100000000002,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.6518,4.1692000000000045,2439.788780000002,2318.5865299999996
