Longitude,Latitude,RSRP(dBm),RSRP(dBm)_after
106.79309747,-6.15466947,-73.25,-67.51610000000001
106.79310695,-6.15464644,-74.64,-68.92129999999999
106.79311939,-6.15461636,-74.62,-69.07019999999994
106.79313482,-6.15457967,-74.15,-67.59529999999998
106.79314898,-6.15454133,-72.91,-67.90570000000001
106.79316769,-6.15450167,-73.12,-67.5209
106.79318549,-6.15446389,-72.46,-66.875
106.79320049,-6.15442745,-72.48,-66.03839999999997
106.7932149,-6.15439238,-69.29,-62.57610000000001
106.79323127,-6.1543547,-68.03,-62.60580000000002
106.79324593,-6.15432001,-70.79,-64.65699999999995
106.79326575,-6.15428267,-70.96,-67.85269999999998
106.79328643,-6.15424788,-68.59,-65.38110000000002
106.79330674,-6.15421497,-72.72,-65.82140000000003
106.79332724,-6.154182,-69.5,-62.85790000000004
106.79334538,-6.15415476,-69.66,-64.69649999999999
106.79336473,-6.1541276,-73.8,-67.13530000000004
106.79338436,-6.15409987,-77.16,-71.7529
106.79340419,-6.1540711,-75.96,-70.10639999999998
106.7934209,-6.1540438,-76.38,-71.22719999999998
106.79343665,-6.15401352,-77.34,-71.75900000000003
106.79345017,-6.1539811,-78.75,-73.0584
106.79345938,-6.15394972,-74.63,-70.8528
106.79346489,-6.15392049,-77.91,-78.13839500000002
106.79346402,-6.153885,-79.24,-72.9747
106.79346635,-6.15384385,-78.72,-72.74089999999997
106.79347389,-6.15379624,-79.11,-78.325685
106.7934887,-6.15374914,-80.85,-79.30129500000001
106.79350905,-6.15370378,-81.24,-75.40860000000002
106.79352606,-6.15366493,-80.6,-79.23688499999999
106.79354811,-6.15361586,-81.19,-78.19619500000002
106.79356661,-6.15357288,-79.68,-73.56190000000002
106.79358378,-6.15352669,-79.97,-73.68340000000002
106.79359811,-6.15348115,-80.23,-73.71660000000001
106.79360911,-6.1534345,-83.42,-83.2182
106.79361714,-6.15338742,-86.65,-83.81473499999998
106.79362214,-6.1533493,-88.14,-85.22243499999998
106.79362516,-6.15331054,-87.14,-84.7888
106.79363005,-6.15326925,-89.74,-86.77449999999999
106.79363332,-6.15323209,-93.12,-89.78290000000001
106.79363062,-6.15319131,-93.93,-90.21593500000002
106.79361689,-6.15315661,-94.55,-91.42100000000002
106.79360117,-6.15312232,-95.26,-91.55193
106.79358314,-6.15308134,-97.92,-92.553235
106.79356319,-6.15303763,-98.47,-87.09930000000003
106.79354353,-6.15299718,-94.32,-91.77639999999998
106.79352158,-6.15295317,-96.61,-93.64668
106.79350045,-6.152914,-95.6,-93.98274
106.79347834,-6.15286787,-93.95,-93.103635
106.79345683,-6.15282842,-97.64,-94.44512999999998
106.79343675,-6.15278972,-100.38,-96.238685
106.79341635,-6.15274803,-101.34,-95.04262
106.79339582,-6.15270284,-101.67,-92.92243
106.79337454,-6.15265482,-101.15,-94.116835
106.79335086,-6.15260725,-101.8,-93.682665
106.79332537,-6.15255539,-102.22,-94.68883
106.79330172,-6.15250942,-102.32,-93.45014999999998
106.79327801,-6.15246597,-103.2,-94.29010499999998
106.79325298,-6.15242312,-103.97,-92.953705
106.79322508,-6.15237893,-103.17,-91.64600000000002
106.79319473,-6.15232891,-101.98,-90.9698
106.79316377,-6.15227599,-99.28,-92.34650000000002
106.79313169,-6.1522265,-99.62,-87.18650500000001
106.79310172,-6.1521863,-100.18,-89.1393
106.79308083,-6.15214475,-99.35,-88.26273499999999
106.79306818,-6.15211959,-100.5,-90.43772
106.79305548,-6.15209225,-101.48,-90.346105
106.7930427,-6.15206569,-100.04,-89.18390000000001
106.79301673,-6.15202425,-105.85,-93.55389999999996
106.79299423,-6.15198218,-108.77,-96.0996
106.79297136,-6.15192952,-107.04,-96.2098
106.7929396,-6.15187371,-104.46,-93.073
106.79291267,-6.15182283,-106.78,-95.34189999999998
106.79288958,-6.15177297,-109.86,-97.8746
