Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09310908,-6.39017673,-76.67,12.0,5084.55,2159.57
107.09310908,-6.39017673,-76.52,10.5,4251.94,2233.07
107.09310908,-6.39017673,-78.67,10.75,3858.71,2649.05
107.09310908,-6.39017673,-77.65,9.75,5085.73,2734.18
107.09310647,-6.39017948,-79.07,12.25,2493.02,1848.61
107.09309987,-6.3901848,-79.88,10.75,3115.23,3244.47
107.09308952,-6.39019281,-83.01,12.0,1326.08,4065.48
107.09307822,-6.39020583,-81.34,11.33,174.67,4426.1
107.09306432,-6.39022299,-82.12,10.75,2489.47,4858.88
107.09305184,-6.39023979,-81.52,10.25,1942.23,5703.75
107.09304439,-6.39025642,-82.03,9.25,4645.41,5073.47
107.09303833,-6.39027272,-86.86,9.5,3891.53,4377.7
107.09303098,-6.39029116,-90.61,8.25,2925.31,2793.02
107.09302424,-6.39030811,-92.19,6.0,2237.85,4687.45
107.09301894,-6.39032671,-93.6,5.67,864.91,4643.53
107.09301354,-6.39034724,-93.59,4.5,4547.89,5172.64
107.09300599,-6.39036275,-94.04,5.75,2440.41,4748.61
107.09299555,-6.39037754,-96.15,3.0,6046.4,3810.05
107.09298423,-6.39039156,-97.18,1.25,2804.32,3282.73
107.09297313,-6.39040981,-95.7,3.25,2965.32,3370.52
107.09296538,-6.39043131,-95.85,6.75,7625.28,4556.37
107.09295759,-6.39045531,-94.91,3.67,7583.52,4142.56
107.09295243,-6.39047811,-93.34,7.0,8187.87,3380.61
107.09295009,-6.39050299,-91.34,6.0,9725.47,3765.43
107.09294712,-6.39052193,-94.79,6.5,4245.87,4006.54
107.09294195,-6.39054209,-93.28,6.5,9594.36,4962.84
107.09293334,-6.3905641,-91.68,8.75,10851.39,5009.28
107.09292723,-6.39058505,-89.14,11.75,4863.61,4538.55
107.09292295,-6.39060605,-90.19,8.33,9178.88,5599.88
107.09291715,-6.39062445,-88.1,13.5,3324.78,5650.15
107.09290974,-6.39064726,-90.12,11.75,2218.02,7115.5
107.09290087,-6.39067178,-89.48,12.5,5542.75,7590.5
107.09288854,-6.39069753,-88.7,10.5,187.68,6793.3
107.09287524,-6.39071796,-90.62,9.75,4730.65,6216.61
107.09286426,-6.39073882,-91.03,8.5,1909.51,4644.19
107.09285517,-6.3907605,-91.19,10.67,6735.16,6019.12
107.09284483,-6.39078234,-89.99,10.0,7159.37,3840.79
107.09283412,-6.39080236,-87.71,12.0,4558.61,4242.77
107.09282323,-6.39082369,-84.7,16.0,5221.0,4012.84
107.09280746,-6.39084688,-84.58,12.75,6563.96,6301.32
107.0927936,-6.39086932,-85.86,13.25,8365.48,5905.31
107.09277492,-6.39089749,-88.68,13.25,10713.46,4609.8
107.09275784,-6.39092415,-89.51,12.0,5903.12,3784.97
107.09274417,-6.39094856,-91.78,12.5,5003.86,3682.39
107.09273372,-6.39097285,-92.44,12.0,8278.25,3874.7
107.0927225,-6.39099902,-92.83,14.5,7160.22,2707.12
107.09271209,-6.39102258,-92.24,8.75,3796.72,1594.34
107.09270586,-6.39104256,-91.53,8.0,5571.19,3444.89
107.09269946,-6.39106664,-90.35,11.25,6544.43,2849.18
107.0926953,-6.39108803,-88.47,9.67,10059.57,2210.3
107.09269162,-6.39110621,-87.65,11.0,10230.77,2378.16
107.09268761,-6.39112288,-90.78,7.75,8631.94,2751.97
107.09268314,-6.39113725,-89.89,8.25,5317.93,2333.85
107.09267716,-6.39115062,-88.75,10.75,6656.16,2307.7
107.09266975,-6.39116593,-87.74,13.0,11101.89,3006.24
107.0926612,-6.39118272,-89.24,14.5,9836.0,3766.85
