Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09198501,-6.39123589,-76.15,12.75,10731.64,1866.45
107.09196087,-6.39123313,-77.62,13.75,7789.52,1415.54
107.09193481,-6.39122716,-85.5,9.67,9702.46,1573.15
107.09190846,-6.39121929,-85.22,11.5,11775.68,2028.72
107.09187317,-6.39120772,-84.92,14.0,9755.91,2071.69
107.09183833,-6.39119686,-85.81,12.75,8173.81,1708.01
107.09180546,-6.39118659,-82.08,12.75,16943.87,2621.73
107.09177384,-6.39118022,-80.53,16.75,12216.97,2960.35
107.09174974,-6.39117944,-79.67,17.0,11178.14,3126.69
107.09173026,-6.39118411,-80.38,16.5,12500.97,3264.61
107.09170846,-6.39118946,-78.3,17.75,13289.34,2476.49
107.09168011,-6.39119848,-77.93,17.5,10745.62,2655.29
107.09165399,-6.39120828,-80.3,17.5,8986.15,2659.29
107.09162595,-6.39121664,-80.62,16.75,3716.78,1745.89
107.09159145,-6.39122234,-84.91,15.0,11333.78,2829.35
107.09155644,-6.39122538,-85.45,14.0,7097.01,1882.03
107.09152082,-6.3912287,-84.43,15.25,6400.61,1961.37
107.09147695,-6.39123459,-83.68,15.25,8752.59,1797.63
107.09144288,-6.39124002,-83.15,14.0,6794.92,1589.91
107.09141451,-6.39124203,-82.77,14.75,9096.06,1918.11
107.09138165,-6.39124122,-84.05,12.75,9938.68,1799.48
107.09134692,-6.39123655,-85.57,7.5,15007.76,2069.87
107.09131153,-6.39122912,-86.82,14.33,7204.32,1477.33
107.09128116,-6.39122146,-87.74,9.0,16992.84,2288.06
107.09124538,-6.39121338,-87.76,8.75,13783.46,1967.39
107.09121244,-6.39120667,-88.46,8.25,13056.67,2058.35
107.09118101,-6.39120055,-87.77,11.25,10454.96,1995.8
107.09114799,-6.39119481,-87.35,8.25,10096.22,2678.14
107.09111692,-6.39118621,-87.48,8.0,15015.23,2873.71
107.09108621,-6.39117443,-87.95,8.33,9905.56,3139.89
107.09105691,-6.39116437,-88.36,5.25,6522.67,2954.41
107.09102765,-6.39115407,-87.51,6.0,23279.2,4431.45
107.09100603,-6.39114349,-90.09,6.25,7509.49,2941.13
107.09099096,-6.39112888,-90.8,6.25,9815.3,2957.22
107.0909834,-6.39110775,-89.74,10.5,6800.7,3118.85
107.09098824,-6.39108462,-88.0,10.0,10079.74,2961.36
107.09099565,-6.39106165,-88.18,10.75,2519.11,2530.44
107.09100287,-6.39103763,-87.65,12.25,7913.61,3027.13
107.09100732,-6.39101811,-87.34,12.0,10126.86,3250.8
107.0910112,-6.39100399,-88.61,13.5,13480.62,3648.0
107.09101439,-6.39099281,-89.99,12.25,3949.83,2904.1
107.09101493,-6.39099089,-89.57,13.25,5017.07,2662.87
107.09101594,-6.39098569,-90.14,13.33,10816.54,3155.86
107.0910163,-6.3909838,-91.46,12.25,11198.53,3760.64
107.09101836,-6.39097992,-88.69,13.5,9625.2,2680.3
107.09101883,-6.39097904,-90.08,12.0,4732.64,2602.73
107.09101883,-6.39097904,-89.58,13.25,8282.94,2514.42
107.09101883,-6.39097904,-91.17,13.5,7885.03,2238.52
107.09101565,-6.39097255,-88.43,14.5,8256.48,2709.08
107.09101234,-6.39095927,-86.38,17.0,14061.96,2799.68
107.09101383,-6.39094098,-84.21,16.0,10255.22,2472.57
107.09101545,-6.39092145,-87.41,15.0,6866.03,2348.04
107.09101616,-6.39090046,-88.01,12.75,4974.52,2626.23
107.09101701,-6.39087404,-87.24,14.75,12804.11,2802.41
107.09101982,-6.39084655,-85.14,17.0,3924.3,2118.8
107.09102258,-6.39081929,-89.33,13.5,8603.38,2204.05
107.09102496,-6.39079103,-85.19,14.25,5519.1,1628.06
107.09102781,-6.39075963,-86.78,17.33,12872.66,2227.27
107.09103189,-6.39073032,-89.43,13.75,8698.2,1659.35
107.09103847,-6.3906976,-86.42,12.25,9961.76,1647.49
107.09104577,-6.39066609,-87.21,11.0,20416.73,1850.83
107.09105004,-6.39064116,-87.62,12.5,12790.3,1769.51
107.09105389,-6.39062094,-86.21,15.0,7741.67,1811.37
107.0910594,-6.39059936,-82.83,17.0,19160.81,2300.68
107.09106463,-6.39058359,-80.33,17.25,5543.96,1568.8
107.091069,-6.39056607,-82.12,16.67,12307.78,1971.08
107.09107046,-6.39055068,-81.77,16.75,5973.32,1928.29
107.09106745,-6.39053062,-77.88,19.75,15914.51,2585.22
107.09106073,-6.39050972,-76.98,15.75,12254.69,2359.58
107.09105311,-6.3904827,-72.84,19.5,9548.42,2664.67
107.09104953,-6.39045609,-72.32,20.25,10403.33,2384.93
107.09105222,-6.39043407,-72.43,17.75,11704.13,2078.98
107.0910615,-6.39041813,-71.79,19.67,9445.34,2157.41
107.09107717,-6.39040741,-75.31,17.25,15096.99,2257.3
107.09109909,-6.39040224,-72.86,18.75,21285.49,2418.8
107.09112028,-6.39040155,-71.39,10.25,21622.57,2031.73
107.09114023,-6.39040002,-68.49,12.75,27638.32,2654.06
107.09115769,-6.39039343,-71.46,13.5,19773.13,1766.2
107.09116918,-6.39038079,-74.52,14.75,30272.13,2141.16
107.09117508,-6.39035795,-74.14,16.33,25895.58,1343.2
107.09117365,-6.39032957,-74.56,15.0,28923.64,2702.38
107.09116838,-6.39029821,-73.54,16.33,15349.041032448376,10951.381842019011
107.09116838,-6.39029821,-84.79,10.0,15349.041032448376,10951.381842019011
107.09216819,-6.38901771,-88.18,8.0,15349.041032448376,10951.381842019011
107.09217456,-6.3889921,-90.56,4.75,15349.041032448376,10951.381842019011
107.09218022,-6.38895474,-88.01,5.5,15349.041032448376,10951.381842019011
107.09218016,-6.3889119,-87.97,4.67,15349.041032448376,10951.381842019011
107.092175,-6.38887065,-84.37,8.25,15349.041032448376,10951.381842019011
107.0921663,-6.38882167,-90.19,2.25,15349.041032448376,10951.381842019011
107.09215468,-6.38877049,-91.93,-3.5,15349.041032448376,10951.381842019011
107.09214392,-6.38872109,-94.64,-4.5,15349.041032448376,10951.381842019011
107.09213289,-6.38867272,-92.1,-1.25,15349.041032448376,10951.381842019011
107.09212463,-6.3886374,-87.46,-5.25,15349.041032448376,10951.381842019011
107.09211719,-6.38859905,-90.09,-1.0,15349.041032448376,10951.381842019011
107.09211125,-6.38856704,-89.61,-2.75,15349.041032448376,10951.381842019011
107.09210331,-6.38854621,-91.42,-4.25,15349.041032448376,10951.381842019011
107.09209471,-6.38852937,-93.59,-3.75,15349.041032448376,10951.381842019011
107.09208207,-6.3885184,-95.56,-4.5,24.06,23.51
107.0920682,-6.38850641,-96.5,-3.25,3261.58,8555.81
107.09205564,-6.38849547,-93.94,-3.75,5918.58,6350.74
107.09204778,-6.3884815,-91.45,-0.67,7068.67,10669.13
107.09204181,-6.38846859,-94.78,-0.75,12605.68,19298.29
107.09203895,-6.38844905,-91.52,-2.25,14606.34,23007.2
107.09203788,-6.38842775,-96.11,-3.0,13047.78,14869.18
107.09203461,-6.38841394,-87.46,4.25,9378.66,10937.75
107.09202707,-6.3883961,-86.26,5.25,8693.32,10534.58
107.09202107,-6.38838213,-83.55,8.0,5354.46,3477.79
107.09201654,-6.38836977,-84.27,6.0,3025.2,4591.22
107.09201339,-6.38835629,-83.22,7.0,3001.87,2308.5
107.09201041,-6.38833964,-83.86,6.5,5072.69,3265.83
107.09200991,-6.38831983,-83.15,6.25,663.05,2911.62
107.09200941,-6.38829683,-82.35,5.5,4872.44,3157.78
107.09200726,-6.38827209,-83.98,3.25,1776.58,2392.45
107.09200467,-6.38824735,-82.37,5.67,2193.72,2614.76
107.0920044,-6.38822149,-83.39,2.5,3403.03,2604.97
107.09200648,-6.38819412,-84.62,3.75,2783.55,3253.52
107.092007,-6.38816985,-88.88,1.25,6414.38,2953.1
107.09200645,-6.38814728,-89.03,2.0,3901.76,2387.44
107.09200405,-6.38812415,-82.25,1.75,6987.69,3166.82
107.09199956,-6.38810502,-87.94,-3.5,4806.79,2418.14
107.09199458,-6.38808616,-89.98,-3.67,6631.87,2357.41
107.09199084,-6.38806874,-92.12,-8.75,3150.09,1885.39
107.09198637,-6.38804869,-90.34,-8.75,5501.17,2618.43
107.09198036,-6.38803142,-86.99,-2.5,5589.93,2788.6
107.09197392,-6.38801551,-87.03,-1.5,131.86,7826.38
107.09196696,-6.38799575,-82.7,-2.0,1490.13,36738.33
107.09196489,-6.3879757,-82.19,-0.5,10765.03,16536.31
107.09196367,-6.38795521,-87.38,-2.25,17942.67,23911.48
107.0919562,-6.38793138,-87.34,-3.33,8010.48,6839.52
107.09194928,-6.3879139,-90.67,-5.25,11444.24,20452.09
107.09194226,-6.38789283,-89.35,-2.0,1795.01,2540.76
107.09193488,-6.38786988,-90.77,-5.0,11149.66,25961.28
107.09192589,-6.38784402,-89.48,-4.5,15071.68,22838.93
107.091915,-6.38781825,-91.59,-6.75,15190.73,33275.22
107.09190508,-6.38779157,-90.71,-7.0,9283.1,20080.91
107.09189551,-6.38776592,-90.03,-7.0,11472.34,23371.53
107.09188792,-6.38774185,-90.33,-6.25,10796.08,24299.56
107.09187873,-6.38771658,-91.31,-0.5,14929.21,37343.65
107.0918684,-6.38768753,-92.47,-4.75,16757.18,34754.4
107.0918631,-6.38766233,-92.4,-4.75,17340.59,32371.78
107.09185871,-6.38764072,-92.82,-2.25,13756.63,13225.22
107.09185061,-6.38761335,-91.84,-5.75,20293.7,25597.0
107.09184238,-6.38758985,-94.39,-5.0,14871.54,16919.38
107.09183613,-6.38756647,-95.88,-5.0,17979.53,20914.36
107.0918303,-6.38754386,-95.03,-5.5,14384.5,18418.06
107.09182255,-6.3875164,-89.52,-1.0,12051.25,19876.67
107.09181593,-6.38749506,-93.76,-6.25,20125.54,24219.78
107.09180957,-6.38747613,-92.54,-4.0,12271.1,12165.25
107.09180299,-6.38745584,-92.71,-8.67,13368.86,21302.25
107.09179858,-6.38744069,-93.74,-7.75,7475.26,743.81
107.09178929,-6.38742348,-93.3,-7.0,8362.56,17982.69
107.09178172,-6.38741001,-93.57,-1.5,5470.36,24850.02
107.09177418,-6.38739271,-94.17,-4.75,973.29,938.99
107.09176649,-6.38737711,-94.76,-4.0,1104.7,5008.79
107.09175702,-6.38736005,-96.9,-5.5,135.71,2363.52
107.09174575,-6.38734679,-96.16,-9.33,83.44,1427.56
107.09172994,-6.3873389,-93.62,-4.25,1975.84,4282.8
107.09171497,-6.38733522,-90.54,-1.5,853.76,871.69
107.0916984,-6.38733266,-95.73,-5.0,209.99,4118.34
107.09168871,-6.38733189,-98.47,-4.75,0.64,11.22
107.0916815,-6.38733142,-95.36,-5.0,0.0,0.0
107.0916793,-6.38733128,-95.82,-7.0,4982.75,189.43
107.0916793,-6.38733128,-97.48,-6.67,12301.86,231.85
107.0916793,-6.38733128,-97.38,-4.25,12975.28,1160.72
107.09167352,-6.38733307,-95.05,-1.25,5979.11,725.97
107.09166414,-6.38733645,-96.01,-7.25,21317.68,8455.34
107.09165274,-6.38733805,-95.86,-4.25,13129.22,5163.04
107.09163786,-6.38733968,-96.1,-3.0,15047.4,9104.27
107.09161862,-6.38734223,-94.26,-1.0,12799.11,6417.99
107.0915967,-6.38734445,-95.08,-2.67,15868.12,13185.25
107.09156986,-6.38734651,-92.4,3.0,20239.44,15324.73
107.09154792,-6.38734994,-92.08,1.75,27463.96,17011.13
107.09152699,-6.38735649,-94.74,-1.0,29377.57,18983.42
107.09150718,-6.3873624,-94.1,-0.25,20863.59,19816.54
107.09148398,-6.38736781,-94.92,-2.25,19799.52,15907.14
107.09146295,-6.38737249,-96.74,-2.33,15786.06,11536.34
107.09143957,-6.38737741,-95.85,0.25,12265.7,20657.35
107.09141318,-6.38738164,-97.06,0.0,21721.62,20946.79
107.09138771,-6.38738526,-96.62,-3.25,17505.09,9993.07
107.09136525,-6.38738959,-95.88,0.75,16211.37,10180.01
107.09134417,-6.38739437,-97.08,-3.0,22952.62,18307.87
107.0913209,-6.38740001,-97.04,-1.75,15763.76,14546.57
107.09129855,-6.38740543,-95.17,0.0,16904.96,13373.35
107.09127468,-6.3874109,-95.58,-1.75,18676.63,16656.55
107.09124773,-6.38741662,-93.95,-0.75,14048.85,19090.94
107.09121938,-6.38742411,-94.27,0.25,16466.07,8500.77
107.09119136,-6.38743156,-94.03,1.5,22713.24,18031.28
107.09115663,-6.38743958,-94.41,3.0,20441.06,13732.51
107.09112477,-6.38744818,-93.15,4.75,14999.02,12994.25
107.09110158,-6.38745517,-93.35,2.67,33008.82,21213.56
107.0910766,-6.38746215,-96.49,1.5,23172.5,17127.75
107.09105833,-6.3874672,-93.84,3.25,29134.32,17069.11
107.0910375,-6.3874708,-95.37,1.0,31415.25,16725.06
107.09100833,-6.38747418,-95.17,2.75,27456.83,17573.95
107.09098049,-6.3874777,-95.84,1.25,21101.17,14729.71
107.09095392,-6.38748115,-95.17,3.0,23147.71,14502.72
107.09092921,-6.38748493,-92.4,-0.67,24901.24,9560.9
107.09090229,-6.38749069,-86.7,5.5,16739.61,7919.98
107.09087838,-6.38749646,-76.9,6.0,26787.65,27775.46
107.09085382,-6.38750143,-78.35,6.5,39704.69,26724.2
107.09082517,-6.38750855,-86.6,2.75,23248.03,11737.88
107.09079674,-6.38751457,-87.91,4.0,28976.89,25181.09
107.09077159,-6.38751886,-84.74,3.5,11165.98,10388.1
107.09074103,-6.38752145,-82.62,7.0,15271.36,22449.67
107.09071972,-6.38752119,-85.13,6.5,31803.14,31601.56
107.09069873,-6.38751379,-90.05,6.75,29041.29,16884.72
107.09068066,-6.38749672,-89.17,2.75,18022.19,17359.7
107.09066847,-6.38746536,-91.38,3.5,16956.53,1475.69
107.09066661,-6.38742782,-91.88,1.0,20074.46,21296.27
107.09067325,-6.38739478,-93.01,2.75,13352.24,11079.89
107.09068672,-6.38735769,-94.12,5.33,14786.24,14511.49
107.0906974,-6.38732733,-93.45,2.5,14241.89,14324.94
107.09070659,-6.38729411,-94.65,-0.25,18264.12,14653.49
107.0907156,-6.38725364,-93.34,5.0,19748.8,24481.25
107.0907215,-6.38721731,-91.67,-1.0,15707.55,8258.58
107.09072745,-6.38718256,-89.34,5.75,20647.54,30920.53
107.09073236,-6.38714988,-88.43,2.5,24909.54,17257.36
107.09073856,-6.3871167,-91.94,0.0,21182.62,20583.07
107.09074506,-6.38708919,-92.68,2.5,22670.42,15193.25
107.09075409,-6.38706227,-91.1,1.25,17756.52,18677.46
107.09076257,-6.38703085,-92.15,-4.25,25140.14,18590.88
107.0907669,-6.3870059,-94.84,-11.5,14166.47,7752.3
107.09077376,-6.38697187,-96.99,-6.75,9115.8,3107.64
107.09078255,-6.38694271,-91.85,2.5,4035.69,13493.62
107.09080013,-6.38691694,-84.3,3.5,16598.32,20796.63
107.09082237,-6.38690201,-83.29,7.33,23904.08,21769.75
107.09086015,-6.38689151,-89.18,4.75,32906.32,21782.87
107.09089088,-6.38689109,-92.38,4.75,34460.43,24793.01
107.09092062,-6.38689384,-93.88,4.5,15804.89,4513.21
107.09094857,-6.38689764,-93.54,2.5,26079.87,14942.25
107.0909732,-6.38690066,-92.24,0.25,25500.99,17683.88
107.09099156,-6.3869018,-91.52,5.0,27055.73,15748.38
107.09101103,-6.38690238,-91.85,2.67,21998.27,21738.11
107.09102567,-6.38689775,-89.89,5.25,34446.59,29822.69
107.09104141,-6.38688892,-89.61,3.5,29581.15,26296.45
107.09105665,-6.38687806,-89.39,3.25,17573.09,5775.97
107.09107046,-6.3868608,-90.03,5.0,31167.17,23737.3
107.09107535,-6.38684464,-91.01,1.0,33237.26,27297.81
107.09107575,-6.38682821,-89.18,4.25,23944.04,20343.16
107.09107547,-6.38681203,-90.23,3.0,25730.82,20304.75
107.09107673,-6.38679565,-91.93,2.5,34375.23,19033.57
107.09107905,-6.38677727,-91.73,2.5,30269.04,21307.27
107.09108142,-6.38675498,-91.39,3.5,23032.05,11475.23
107.09108458,-6.38673109,-93.45,-0.5,32640.22,29567.55
107.09108661,-6.38670647,-93.26,2.25,15569.53,6634.12
107.0910891,-6.38668338,-94.27,0.5,24264.02,19095.56
107.09109294,-6.38665976,-92.68,0.33,24155.59,17612.42
107.09109859,-6.3866372,-92.29,2.25,23090.21,22151.28
107.09110409,-6.38661713,-93.4,1.5,25414.94,10435.58
107.09110999,-6.38659714,-93.3,-0.75,22690.61,15213.91
107.09111602,-6.38657849,-90.27,2.0,21267.85,17036.51
107.09112295,-6.38656034,-90.05,2.0,25095.45,1842.28
107.09112666,-6.38653955,-89.67,1.75,21436.62,15513.75
107.09112954,-6.38651648,-91.3,4.33,22306.92,16723.49
107.09113186,-6.38649568,-92.02,3.75,29293.16,7784.13
107.09113479,-6.38647309,-89.42,4.0,29498.55,16770.21
107.09113744,-6.38644528,-85.22,2.5,29965.08,30389.32
107.09113978,-6.38642181,-86.66,1.75,28325.46,13983.49
107.09114307,-6.38639707,-88.46,-1.0,17678.83,13418.17
107.09114392,-6.38637163,-90.02,-0.25,16165.92,12431.51
107.09114375,-6.38634557,-90.0,-2.0,7990.44,4110.09
107.09114475,-6.38631955,-90.35,-2.0,8339.17,9189.44
107.09114588,-6.38629084,-91.7,-2.75,15105.88,15412.95
107.09114691,-6.38626226,-92.32,-1.0,10832.66,11439.84
107.09114915,-6.38623691,-92.23,0.5,19343.29,18324.53
107.0911546,-6.38620956,-92.05,-3.75,20993.47,5195.58
107.09115765,-6.38618211,-86.89,-3.5,19875.87,19386.9
107.09115829,-6.386148,-87.57,-4.0,9945.36,3327.9
107.09115778,-6.38611722,-86.88,-1.67,16756.37,41021.8
107.09115822,-6.38608743,-86.93,-4.25,20089.45,27981.38
107.09116204,-6.38605853,-86.16,-4.0,22138.0,12813.8
107.09116707,-6.38603341,-83.95,-2.25,15205.37,19869.86
107.09117298,-6.38601009,-76.96,3.5,22216.98,36609.12
107.09117783,-6.38599221,-83.15,4.25,19095.97,5685.7
107.09118362,-6.38597683,-85.46,4.5,27083.01,21594.34
107.09119077,-6.38595633,-83.74,6.0,31229.79,19501.5
107.09119948,-6.38592458,-83.28,5.0,33178.11,22620.89
107.09120564,-6.3858956,-77.53,9.0,17420.0,15820.74
107.09121264,-6.38585749,-81.94,4.0,32825.47,29665.31
107.09121927,-6.38582117,-77.94,5.0,31416.07,16793.86
107.09122855,-6.38578287,-80.89,7.75,38738.01,33356.84
107.09123649,-6.38575238,-85.94,4.5,30232.67,8202.27
107.09124561,-6.38571672,-87.44,7.33,21763.71,17169.09
107.09125264,-6.38568989,-89.4,3.25,18935.51,5162.69
107.0912579,-6.38566426,-89.01,4.75,12748.55,13567.39
107.09126049,-6.3856397,-91.83,5.25,24376.54,18805.95
107.09126116,-6.38562281,-91.48,3.5,14419.32,15971.33
107.09126332,-6.38560175,-87.66,5.5,22799.31,10574.03
107.09126738,-6.38557736,-88.68,6.5,20117.73,14304.35
107.09127412,-6.38554097,-87.14,7.67,12568.42,11953.92
107.09128174,-6.38550128,-84.35,7.25,25194.57,16960.35
107.09128867,-6.38546492,-83.98,6.25,12162.96,14560.71
107.09129489,-6.38543016,-86.65,9.25,15462.1,2641.66
107.09130158,-6.38540111,-86.74,10.5,23919.82,30272.29
107.09130821,-6.38537744,-86.78,9.0,36107.64,24063.29
107.09131621,-6.3853515,-86.95,8.0,26553.73,13907.96
107.09132416,-6.38532487,-88.19,5.67,33669.88,17213.21
107.09133054,-6.38530087,-86.09,8.5,27742.56,9460.21
107.09133758,-6.38526924,-84.71,7.5,40024.19,18419.97
107.0913435,-6.38524096,-84.19,6.5,37694.24,23768.76
107.09134824,-6.38521935,-83.92,7.75,31493.66,6714.37
107.0913503,-6.38520077,-86.72,6.25,26800.4,11724.21
107.09135149,-6.38518464,-87.58,6.75,31683.03,16487.31
107.0913527,-6.38516882,-88.52,6.33,20110.27,11646.54
107.09135398,-6.38515518,-85.72,11.0,23053.1,12172.78
107.09135729,-6.3851394,-86.48,13.0,39768.61,20111.51
107.09136173,-6.38512186,-87.01,9.25,39484.32,17660.25
107.09136667,-6.38510235,-87.07,9.75,27282.91,19023.87
107.09137148,-6.38508301,-85.62,7.0,25611.41,19530.12
107.0913751,-6.38506391,-78.93,13.0,21543.61,7181.72
107.09137845,-6.38504564,-80.54,11.75,41497.45,34038.28
107.09138305,-6.38502361,-81.01,13.33,20012.48,11625.14
107.09139148,-6.38499988,-81.99,10.75,31041.26,10435.86
107.09140042,-6.38497575,-76.28,15.75,29081.82,21345.53
107.091408,-6.38495357,-72.0,15.5,26131.94,11987.17
107.09141463,-6.38493214,-75.24,14.25,22010.33,10314.06
107.09141729,-6.38491089,-77.96,16.0,46873.68,33826.71
107.09141346,-6.38489124,-78.94,13.67,11788.47,1025.57
107.0914043,-6.38487428,-79.33,11.25,30715.21,16206.04
107.09139142,-6.38486349,-80.43,13.5,30563.05,20170.39
107.09137411,-6.38485885,-81.73,12.0,44000.96,15975.3
107.09135243,-6.38485715,-87.2,8.75,11977.48,5792.45
107.09132825,-6.38485639,-83.54,13.5,17593.45,13054.59
107.09130513,-6.3848557,-84.22,13.0,27379.01,20471.92
107.09127801,-6.38485392,-84.68,11.0,28942.49,11916.1
107.0912535,-6.3848521,-83.24,9.5,18346.66,11965.94
107.09123021,-6.38485043,-83.85,10.75,31159.68,34615.09
107.09121057,-6.38484881,-86.49,10.25,32047.37,13685.81
107.09118851,-6.38484671,-87.35,8.75,43280.6,25667.67
107.0911647,-6.38484469,-82.0,14.0,24306.86,6273.47
107.0911419,-6.38484208,-78.22,15.75,20999.87,10926.43
107.09111579,-6.38483822,-80.99,11.67,31217.06,16881.36
107.09109207,-6.38483448,-79.34,17.25,31514.46,14857.62
107.09106576,-6.38483074,-82.42,13.0,31769.82,9766.34
107.09104119,-6.38482866,-79.75,15.0,22908.34,8688.13
107.09101788,-6.38482576,-77.98,17.0,43012.6,29264.26
107.09099599,-6.38482351,-80.58,14.75,27296.73,8447.84
107.09097639,-6.38482148,-82.23,11.0,30524.93,11690.7
107.09095861,-6.38482006,-83.07,13.67,22423.57,13232.13
107.09094425,-6.38481773,-83.82,12.75,33366.36,23122.87
107.09092781,-6.38481458,-85.12,11.75,24460.76,17342.98
107.09091294,-6.384812,-85.87,10.5,21081.59,6919.47
107.09090044,-6.38481,-88.22,7.75,28359.86,21573.95
107.09088984,-6.38480857,-89.25,10.75,24608.16,19940.6
107.09087538,-6.38480528,-87.58,9.25,26730.55,17170.47
107.09085785,-6.38480261,-85.28,11.33,18636.91,7542.52
107.09083914,-6.38480065,-83.15,12.0,25417.08,31663.47
107.09081693,-6.38479773,-86.57,10.25,25063.0,9903.06
107.09078807,-6.38479332,-84.28,11.0,12022.23,8186.62
107.09076399,-6.38479055,-88.4,9.0,43653.99,27269.96
107.09074103,-6.38478767,-90.69,6.5,23286.59,10922.53
107.09071729,-6.38478459,-91.82,8.25,18568.75,7719.98
107.09069396,-6.38478311,-91.34,5.33,28335.29,27304.19
107.09067581,-6.38478238,-90.81,8.0,16314.2,6943.65
107.09065483,-6.38478081,-87.76,4.5,14317.87,5836.68
107.09063833,-6.38477865,-92.02,2.0,31002.18,30236.83
107.09062464,-6.38477643,-89.25,-2.25,13457.61,6013.31
107.09061531,-6.38477441,-86.2,-0.5,18225.64,16335.15
107.09060898,-6.38477384,-88.11,1.0,28812.22,26769.34
107.09060656,-6.38477359,-91.46,-5.0,27925.14,20066.11
107.09060464,-6.38477604,-91.36,-4.75,30706.83,19449.88
107.0906042,-6.38477676,-88.98,-2.25,27141.69,15918.72
107.09060319,-6.38477948,-88.92,-5.75,25512.91,8500.26
107.09060122,-6.3847842,-89.67,2.0,21646.41,22686.85
107.09059598,-6.3847934,-86.43,1.5,29871.62,26167.25
107.09058993,-6.38480883,-90.75,-4.75,28515.54,13053.1
107.09058478,-6.38482373,-95.62,-8.0,9375.17,6871.08
107.09057921,-6.3848445,-96.47,-10.0,8065.84,10805.24
107.09057201,-6.38487183,-95.79,-5.0,3693.18,18654.98
107.09056661,-6.38489346,-94.42,2.0,9239.74,22476.52
107.09056117,-6.38491953,-93.03,3.5,14446.3,10730.98
107.09055693,-6.38494673,-92.97,5.25,15619.33,15296.26
107.09055251,-6.3849808,-91.3,2.75,12744.22,12304.32
107.09054672,-6.38500976,-90.38,2.67,15019.66,2787.44
107.09054092,-6.3850414,-88.83,6.5,19682.78,19109.6
107.0905364,-6.38506638,-86.67,6.0,12657.28,10919.19
107.09052821,-6.3850906,-89.3,1.75,27267.88,6699.42
107.09052112,-6.38511667,-86.84,7.0,11750.46,12365.79
107.0905138,-6.3851446,-88.36,5.5,22019.77,16018.01
107.09050835,-6.38517262,-86.4,6.75,33859.57,13320.23
107.09050445,-6.3852054,-85.69,3.67,29270.01,9592.28
107.09049895,-6.38523803,-86.71,6.75,18311.67,8068.94
107.09049327,-6.38526792,-86.41,7.0,28933.36,6979.98
107.09048651,-6.38530295,-87.66,5.0,11706.87,9381.0
107.09048056,-6.3853338,-88.63,2.25,22859.25,29041.08
107.09047349,-6.38536447,-87.64,3.5,28870.81,7952.96
107.09046567,-6.3853917,-88.04,1.75,26025.93,9278.87
107.09045919,-6.38542145,-88.79,-2.33,31264.99,9691.92
107.09045384,-6.38545079,-88.56,2.0,13841.09,16091.86
107.09044509,-6.38547713,-87.48,1.75,20739.73,18662.25
107.09043817,-6.38549883,-84.45,-0.25,22797.58,17223.56
107.09043414,-6.38552137,-85.72,-2.25,23098.64,15193.39
107.09043225,-6.38553553,-86.94,-5.0,10130.96,4523.89
107.09043262,-6.38555477,-87.18,-6.0,13603.45,15455.68
107.09043156,-6.38557499,-86.4,-7.0,6142.31,25059.03
107.09043051,-6.38559586,-86.92,-6.5,4353.51,7419.69
107.09042914,-6.3856146,-87.89,-3.25,7992.53,32999.11
107.09042669,-6.38564322,-86.94,-4.5,16825.55,17301.38
107.09042427,-6.38567153,-83.29,-5.75,14256.35,2099.67
107.09042004,-6.38570192,-81.78,-4.0,18859.13,18710.16
107.09041329,-6.38573691,-79.56,-5.0,22497.85,20299.21
107.09040606,-6.38577414,-79.59,-1.67,26218.37,11804.22
107.09040231,-6.38580212,-77.9,5.0,19833.45,19351.82
107.09039813,-6.3858336,-77.75,6.75,27977.53,9308.18
107.09039408,-6.38586318,-77.64,6.25,28126.69,26692.41
107.0903858,-6.38589537,-79.47,6.75,41628.1,24868.03
107.09037401,-6.38592973,-78.85,8.0,52349.05,28086.88
107.09036479,-6.38596938,-81.45,5.0,33810.35,11747.52
107.09035805,-6.3860078,-82.43,5.0,41413.93,17055.82
107.09035358,-6.38604658,-84.75,4.5,37029.51,17194.73
107.09035129,-6.38608514,-82.36,7.25,27892.51,14526.77
107.09035014,-6.38612018,-84.51,7.0,36605.98,22738.72
107.0903496,-6.38615334,-84.31,5.0,32097.66,9060.88
107.09034749,-6.38618506,-82.2,7.25,23453.21,20820.14
107.0903451,-6.38621697,-84.31,7.33,27874.7,24223.49
107.09034275,-6.38624111,-84.4,7.75,26919.8,8775.22
107.09033844,-6.38626533,-86.55,6.75,26407.3,22689.35
107.09033495,-6.38628937,-84.67,10.0,38672.57,39236.18
107.09032996,-6.38631507,-84.44,9.25,19658.5,15967.42
107.09032419,-6.38634189,-80.42,9.0,24316.61,6751.3
107.09031879,-6.38637272,-76.05,9.25,34656.61,26642.92
107.09031511,-6.38639972,-75.89,8.33,39748.05,25283.92
107.09031211,-6.38642323,-78.65,9.75,50132.09,18969.9
107.09030919,-6.38645074,-80.61,9.5,20657.62,10235.75
107.09030721,-6.38647387,-78.8,9.75,57105.07,27518.57
107.09030516,-6.38649357,-79.06,7.25,30274.98,6108.57
107.09030277,-6.38651341,-79.98,6.25,28565.2,21035.74
107.09029969,-6.3865367,-78.51,8.25,31202.53,20444.38
107.09029626,-6.38655875,-80.76,6.33,29900.05,14145.56
